Product,Brand,Price,Size,Price per Unit,Calories,Fat,,,Cholestrol,Sodium,Carbs,,,Protein,Vitamin D,Calcium,Iron,Potassium
,,,,,,Total,Saturated,Trans,,,Total,Dietary Fiber,Sugars,,,,,
"10"" Egg Wraps (Cage Free Cauliflower)",Crepini,$8.99,9.8 oz,$0.92/oz,30,1.50g,0.00g,0.00g,40.00mg,90.00mg,0.00g,0.00g,0.00g,3.00g,0.20mcg,10.00mg,0.20mg,40.00mg
"10"" White Cake (Filled with Vanilla Cheesecake Mousse)",Kirkland Signature,$12.99,1 ea,$12.99/ea,463,27.00g,13.00g,0.50g,60.00mg,315.00mg,53.00g,1.80g,40.00g,5.40g,11%,0.50%,9%,13%
100 % Orange Juice (Bottles),Apple & Eve,$12.69,(24 Pack) 10 oz,$0.05/oz,140,0.00g,0.00g,0.00g,0.00mg,10.00mg,34.00g,0.00g,29.00g,0.00g,0.00mcg,0.00mg,0.00mg,0.00mg
100% Colombian Coffee,Kirkland Signature,$15.99,48 oz,$0.33/oz,15,0.00g,0.00g,0.00g,0.00mg,5.00mg,2.00g,0.00g,0.00g,0.00g,0.00mcg,20.00mg,0.00mg,220.00mg
100% Juice (Variety Pack),Capri Sun,$9.49,(40 Pack) 6 oz,$0.04/oz,90,0.00g,0.00g,0.00g,0.00mg,25.00mg,21.00g,0.00g,20.00g,0.00g,0.00mcg,0.00mg,0.50mg,190.00mg
100% Whole Wheat Bread (Country 100% Whole Wheat),Freihofer's,$5.79,(2 Pack) 24 oz,$0.12/oz,90,1.00g,0.00g,0.00g,0.00mg,170.00mg,17.00g,2.00g,4.00g,4.00g,0.00mcg,45.00mg,0.80mg,80.00mg
15 Grain Bread,Pepperidge Farm,$5.69,(2 Pack) 24 oz,$0.12/oz,140,3.00g,0.50g,0.00g,0.00mg,140.00mg,24.00g,4.00g,8.00g,7.00g,0.00mcg,50.00mg,1.40mg,110.00mg
3 Cheese Mini Ravioli (Organic) [Organic],Rana,$10.59,(2 Pack) 17 oz,$0.31/oz,290,11.00g,6.00g,0.00g,70.00mg,530.00mg,33.00g,2.00g,6.00g,14.00g,10%,0%,25%,2%
4505 Chicharrones (Classic Pork Rinds),4505 Chicharrones,$6.79,7 oz,$0.97/oz,80,6.00g,2.00g,0.00g,20.00mg,140.00mg,0.00g,0.00g,0.00g,7.00g,0%,2%,2%,0%
85% Lean Ground Beef (Organic 85% Lean Grass Fed) [Organic],Kirkland Signature,$22.99,(4 Pack) 1 lb,$5.75/lb,16618,870.00g,340.00g,26.00g,6430.00mg,6286.00mg,0.00g,0.00g,0.00g,2056.00g,0.00mcg,1156.00mg,223.00mg,31284.30mg
A.1. Steak Sauce (Original),A.1.,$9.99,(2 Pack) 20 oz,$0.25/oz,15,0.00g,0.00g,0.00g,0.00mg,280.00mg,3.00g,0.00g,2.00g,0.00g,0.00mcg,0.00mg,0.00mg,0.00mg
ABF Turkey Breast ((sold per lb.)),Kirkland Signature,$3.99,1 lb,$3.99/lb,60,1.00g,0.00g,0.00g,30.00mg,400.00mg,0.00g,0.00g,0.00g,11.00g,0%,0%,0%,2%
Acai Superfruit Packs,Organic Sambazon,$13.49,(12 Pack) 3.5 oz,$0.32/oz,100,3.50g,1.00g,0.00g,0.00mg,15.00mg,15.00g,3.00g,24.00g,1.00g,0.00mcg,15.00mg,0.00mg,80.00mg
Activa (Variety Pack),Dannon,$8.99,(24 Pack) 4 oz,$0.09/oz,150,5.00g,2.50g,0.20g,15.00mg,75.00mg,20.00g,0.00g,16.00g,7.00g,1.50mcg,250.00mg,0.00mg,350.00mg
All Purpose Flour,King Arthur,$18.79,25 lb,$0.75/lb,455,1.20g,0.20g,0.50g,0.00mg,2.50mg,95.00g,3.40g,0.30g,13.00g,0.00mcg,19.00mg,5.80mg,133.80mg
Almond Butter (Creamy),Kirkland,$6.99,27 oz,$0.26/oz,210,18.00g,1.50g,0.00g,0.00mg,0.00mg,7.00g,3.00g,2.00g,6.00g,0%,0%,8%,6%
Almond Flour (Superfine),Kirkland Signature,$11.79,3 lb,$3.93/lb,180,15.00g,1.00g,0.00g,0.00mg,0.00mg,5.00g,3.00g,1.00g,6.00g,0.00mcg,70.00mg,1.00mg,177.00mg
Almond Flour Crackers (2/8.5 oz. bags),Simple Mills,$10.89,17 oz,$0.64/oz,150,8.00g,0.50g,0.00g,0.00mg,180.00mg,18.00g,2.00g,0.00g,3.00g,0.00mcg,30.00mg,0.90mg,90.00mg
"Almond Flour Tortillas [Gluten Free,Vegan]",Siete,$11.89,20 ct,$0.59/ct,190,11.00g,1.00g,0.00g,0.00mg,220.00mg,20.00g,3.00g,1.00g,6.00g,0.00mcg,60.00mg,0.80mg,180.00mg
Almond Milk (Organic Unsweetened Vanilla),Kirkland Signature,$7.99,(6 Pack) 1 qt,$1.33/qt,35,3.00g,0.30g,0.00g,0.00mg,100.00mg,1.00g,1.00g,0.00g,1.00g,0%,30%,0%,220.00mg
Almond Milk (Organic Unsweetened),Silk,$8.99,(3 Pack) 64 oz,$0.05/oz,25,2.00g,0.00g,0.00g,0.00mg,130.00mg,1.00g,0.50g,0.00g,0.50g,0%,45%,2%,30.00mg
Almond Milk (Original),Kirkland Signature,$11.99,(12 Pack) 32 oz,$0.03/oz,35,3.00g,0.30g,0.00g,0.00mg,100.00mg,1.00g,1.00g,0.00g,1.00g,0%,30%,0%,220.00mg
Almonds (Dry Roasted),Kirkland,$10.39,40 oz,$0.26/oz,180,16.00g,1.00g,0.00g,0.00mg,120.00mg,6.00g,3.00g,1.00g,6.00g,0.00mcg,80.00mg,1.00mg,214.00mg
Altoids (Peppermint),Altoids,$14.99,12 ct,$1.25/ct,2.5,0.00g,0.00g,0.00g,0.00mg,0.00mg,1.00g,0.00g,2.00g,0.00g,0.00mcg,0.00mg,0.00mg,0.00mg
Amarena Wild Cherries,Fabbri,$15.99,35.2 oz,$0.45/oz,50,0.00g,0.00g,0.00g,0.00mg,0.00mg,13.00g,0.00g,12.00g,0.00g,0.00mcg,0.00mg,0.00mg,0.00mg
Ancient Grains Granola (w/ Probiotics),Nature's Path Organic/Kirkland Signature,$7.99,35.3 oz,$0.23/oz,480,18.00g,2.50g,0.00g,0.00mg,240.00mg,72.00g,12.00g,19.00g,11.00g,0.00mcg,50.00mg,3.50mg,350.00mg
Andouille Sausage (Paleo),Amylu,$13.99,40 oz,$0.35/oz,110,6.00g,1.50g,0.00g,65.00mg,500.00mg,1.00g,0.00g,0.00g,13.00g,0.00mcg,0.00mg,0.00mg,169.00mg
Angus Cheeseburgers,Pierre Signatures,$15.99,(8 Pack) 6.2 oz,$0.32/oz,500,27.00g,10.00g,1.00g,60.00mg,820.00mg,40.00g,2.00g,6.00g,25.00g,0%,15%,20%,0%
Angus Chuck Beef Patty (1/3 lb. patty),Kirkland Signature,$25.89,18 ct,$1.44/ct,440,38.00g,14.00g,2.50g,115.00mg,100.00mg,0.00g,0.00g,0.00g,24.00g,0.00mcg,32.00mg,3.00mg,368.00mg
Animal Crackers (Organic),Kirkland,$10.99,4 lb,$2.75/lb,120,3.00g,1.50g,0.00g,0.00mg,85.00mg,22.00g,0.00g,12.00g,2.00g,0.00mcg,60.00mg,0.00mg,0.00mg
Apple Cider Vinegar (Organic (3/32 oz.)),Kirkland Signature,$8.99,96 oz,$0.09/oz,0,0.00g,0.00g,0.00g,0.00mg,0.00mg,0.00g,0.00g,0.00g,0.00g,0.00mcg,0.00mg,0.00mg,0.00mg
Apple Juice (Organic) [Organic],Mott's,$9.49,(2 Pack) 128 oz,$0.04/oz,120,0.00g,0.00g,0.00g,0.00mg,30.00mg,29.00g,0.00g,28.00g,0.00g,0.00mcg,0.00mg,0.90mg,290.00mg
Apple Sauce Pouch (Organic) [Organic],Kirkland Signature,$10.39,(24 Pack) 3.17 oz,$0.14/oz,70,0.00g,0.00g,0.00g,0.00mg,5.00mg,16.00g,1.00g,11.00g,0.00g,0.00mcg,4.00mg,0.00mg,149.00mg
Applesauce (Organic - Variety),Go Go Squeeze,$14.99,(28 Pack) 3.2 oz,$0.17/oz,70,0.00g,0.00g,0.00g,0.00mg,0.00mg,16.00g,3.00g,13.00g,0.00g,0.00mcg,7.00mg,0.00mg,102.00mg
Applesauce Cups (Organic) [Organic],Mott's,$15.99,(36 Pack) 3.9 oz,$0.11/oz,50,0.00g,0.00g,0.00g,0.00mg,0.00mg,13.00g,1.00g,11.00g,0.00g,0.00mcg,0.00mg,0.00mg,80.00mg
"Artichoke Hearts (Quarters & Halves, Marinated in Oil)",Kirkland Signature,$9.89,(2 Pack) 33 oz,$0.15/oz,20,1.50g,0.00g,0.00g,0.00mg,75.00mg,1.00g,2.00g,0.00g,0.50g,0.00mcg,6.00mg,0.00mg,23.00mg
Artisan Italian Dressing (Simply),Wishbone,$6.89,(2 Pack) 24 oz,$0.14/oz,90,7.00g,1.00g,0.00g,0.00mg,350.00mg,5.00g,0.00g,8.00g,0.00g,0.00mcg,0.00mg,0.00mg,0.00mg
Autumn Mix,Hershey's,$12.99,50.4 oz,$0.26/oz,110,0.00g,0.00g,0.00g,0.00mg,60.00mg,27.00g,0.00g,42.00g,0.00g,0.00mcg,0.00mg,0.00mg,3.00mg
Avocado Oil (100% Pure),Chosen Foods,$19.79,2 lt,$9.90/lt,130,14.00g,2.00g,0.00g,0.00mg,0.00mg,0.00g,0.00g,0.00g,0.00g,0.00mcg,0.00mg,0.00mg,0.00mg
Avocado Oil Spray,Chosen Foods,$5.99,(2 Pack) 4.7 oz,$0.64/oz,0,0.00g,0.00g,0.00g,0.00mg,0.00mg,0.00g,0.00g,0.00g,0.00g,0.00mcg,0.00mg,0.00mg,0.00mg
Bacon (Naturally Hardwood Smoked),Oscar Mayer,$14.99,(3 Pack) 1 lb,$5.00/lb,90,7.00g,2.50g,0.00g,20.00mg,350.00mg,0.00g,0.00g,0.00g,7.00g,0.00mcg,0.00mg,0.00mg,0.00mg
Bacon (Antibotic Free),Maple Leaf Foods,$15.99,3 lb,$5.33/lb,150,9.00g,2.50g,0.00g,85.00mg,80.00mg,0.00g,0.00g,0.00g,17.00g,0.00mcg,4%,10%,0.00mg
Bacon (Low Sodium),Kirkland Signature,$16.79,(4 Pack) 1 lb,$4.20/lb,43,3.30g,1.10g,0.00g,8.80mg,82.00mg,0.10g,0.00g,0.00g,3.00g,0.10mcg,0.90mg,0.10mg,45.20mg
Bacon (Sliced Bacon),Kirkland Signature,$16.79,(4 Pack) 1 lb,$4.20/lb,110,9.00g,5.00g,0.00g,25.00mg,170.00mg,1.00g,0.00g,0.00g,7.00g,0.20mcg,190.00mg,0.10mg,20.00mg
Bacon (Fully Cooked),Kirkland Signature,$13.89,1 lb,$13.89/lb,90,8.00g,2.50g,0.00g,15.00mg,370.00mg,1.00g,0.00g,1.00g,6.00g,0.00mcg,0.00mg,0.00mg,0.00mg
Bacon Crumbles,Kirkland Signature,$8.79,20 oz,$0.44/oz,30,2.00g,1.00g,0.00g,10.00mg,125.00mg,0.00g,0.00g,0.00g,2.00g,0.00mcg,0.00mg,0.00mg,0.00mg
Bacon Wrapped Chicken (Mozzarella Parmesan & Fontina Cheese),The Real Good Food,$13.79,(6 Pack) 6 oz,$0.38/oz,380,26.00g,13.00g,0.00g,145.00mg,990.00mg,3.00g,2.00g,1.00g,32.00g,0.40mcg,260.00mg,0.70mg,470.00mg
Bagel Bites (Mozzarella Cheese),Ore-Ida,$8.99,72 ct,$0.12/ct,50,1.50g,0.40g,0.20g,0.90mg,91.00mg,7.70g,0.20g,0.60g,1.30g,0.00mcg,19.00mg,0.30mg,46.00mg
Baked Beans (Original),Bush's,$10.59,(8 Pack) 16.5 oz,$0.08/oz,150,1.50g,0.00g,0.00g,0.00mg,590.00mg,30.00g,4.00g,23.00g,7.00g,0.00mcg,50.00mg,1.80mg,360.00mg
Baking Soda,Arm & Hammer,$7.79,13.5 lb,$0.58/lb,0,0.00g,0.00g,0.00g,0.00mg,1259.00mg,0.00g,0.00g,0.00g,0.00g,0.00mcg,0.00mg,0.00mg,0.00mg
Balsamic Glaze,Nonna Pia's,$6.99,12.85 oz,$0.54/oz,20,0.00g,0.00g,0.00g,0.00mg,0.00mg,5.00g,0.00g,4.00g,0.00g,0.00mcg,2.00mg,0.00mg,13.00mg
Balsamic Vinegar,Kirkland Signature,$10.99,33.8 oz,$0.33/oz,14,0.00g,0.00g,0.00g,0.00mg,3.70mg,2.70g,0.00g,2.40g,0.10g,4.30mcg,0.00mg,0.10mg,17.90mg
Banana Nut Loaf,Jessica's,$10.99,48 oz,$0.23/oz,290,16.00g,1.50g,0.00g,50.00mg,200.00mg,35.00g,1.00g,19.00g,4.00g,0%,4%,2%,0%
Bark Thins (Dark Chocolate Almond),Bark Thins,$9.89,20 oz,$0.49/oz,160,12.00g,6.00g,0.00g,0.00mg,25.00mg,15.00g,3.00g,22.00g,3.00g,0.00mcg,20.00mg,2.80mg,140.00mg
Barramundi Fillet (Farm raised previously frozen (sold per lb.)),The Better Fish,$9.99,1 lb,$9.99/lb,100,1.50g,0.50g,0.00g,55.00mg,35.00mg,0.00g,0.00g,0.00g,21.00g,10.00mcg,9.00mg,0.00mg,370.00mg
Basmati Rice,Royal,$19.99,20 lb,$1.00/lb,205,0.40g,0.10g,0.10g,0.00mg,1.60mg,45.00g,0.60g,0/1,4.30g,0.00mcg,16.00mg,1.90mg,55.30mg
Beef Chuck Pot Roast (Boneless USDA Choice (sold per lb.)),Kirkland Signature,$5.99,1 lb,$5.99/lb,257,16.00g,6.50g,0.60g,102.00mg,43.00mg,0.00g,0.00g,0.00g,26.00g,0.30mcg,14.00mg,2.20mg,205.70mg
Beef Chuck Short Ribs (Boneless USDA Choice (sold per lb.)),Kirkland Signature,$15.99,1 lb,$15.99/lb,193,15.00g,6.60g,1.10g,66.00mg,72.00mg,0.00g,0.00g,0.00g,15.00g,0.10mcg,10.00mg,1.80mg,232.10mg
Beef Dinner Franks (as served in the Costco Food Court),Kirkland Signature,$13.49,61 oz,$0.22/oz,370,31.00g,12.00g,1.00g,85.00mg,1250.00mg,4.00g,0.00g,6.00g,16.00g,0.00mcg,41.00mg,2.00mg,253.00mg
Beef Flank Steak (USDA Choice (sold per lb.)),Kirkland Signature,$10.99,1 lb,$10.99/lb,163,7.00g,2.90g,0.30g,67.00mg,48.00mg,0.00g,0.00g,0.00g,24.00g,0.00mcg,17.00mg,1.50mg,288.20mg
Beef Franks,Hebrew National,$9.99,(4 Pack) 12 oz,$0.21/oz,45,1.00g,0.50g,0.00g,15.00mg,490.00mg,2.00g,0.00g,0.00g,6.00g,0.00mcg,0.00mg,0.70mg,94.00mg
Beef Inside Skirts (USDA Choice (sold per lb.)),Kirkland Signature,$12.99,1 lb,$12.99/lb,150,5.00g,2.50g,0.00g,65.00mg,60.00mg,0.00g,0.00g,0.00g,25.00g,0%,0%,15%,0%
Beef Loin Flap Meat Steak (USDA Choice (sold per lb.)),Kirkland Signature,$9.79,1 lb,$9.79/lb,225,13.00g,4.90g,0.50g,58.00mg,61.00mg,0.00g,0.00g,0.00g,25.00g,0.00mcg,10.00mg,3.10mg,371.40mg
Beef Loin New York Steak (Boneless USDA Choice (sold per lb.)),Kirkland Signature,$8.99,1 lb,$8.99/lb,224,15.00g,5.90g,0.90g,69.00mg,44.00mg,0.00g,0.00g,0.00g,22.00g,0.10mcg,12.00mg,2.10mg,225.30mg
Beef Loin New York Steak (USDA PRIME - sold per lb.),Kirkland Signature,$19.99,1 lb,$19.99/lb,224,15.00g,5.90g,0.90g,69.00mg,44.00mg,0.00g,0.00g,0.00g,22.00g,0.10mcg,12.00mg,2.10mg,225.30mg
Beef Loin Tenderloin (Whole USDA Choice - sold per lb.),Kirkland Signature,$16.59,1 lb,$16.59/lb,275,21.00g,8.30g,0.80g,72.00mg,48.00mg,0.00g,0.00g,0.00g,20.00g,0.00mcg,7.70mg,2.60mg,281.40mg
Beef Loin Tenderloin (USDA Choice Peeled Extreme (sold by lb.)),Kirkland Signature,$24.99,1 lb,$24.99/lb,275,21.00g,8.30g,0.80g,72.00mg,48.00mg,0.00g,0.00g,0.00g,20.00g,0.00mcg,7.70mg,2.60mg,281.40mg
Beef Loin Tenderloin (Steak Filet Mignon (sold by lb.)),Kirkland Signature,$19.99,1 lb,$19.99/lb,275,21.00g,8.30g,0.80g,72.00mg,48.00mg,0.00g,0.00g,0.00g,20.00g,0.00mcg,7.70mg,2.60mg,281.40mg
Beef Loin Tenderloin Steak (USDA PRIME - sold per lb.),Kirkland Signature,$28.99,1 lb,$28.99/lb,275,21.00g,8.30g,0.80g,72.00mg,48.00mg,0.00g,0.00g,0.00g,20.00g,0.00mcg,7.70mg,2.60mg,281.40mg
Beef Loin Top Loin (Whole (New York) Vacuum Package (sold per lb.)),Kirkland Signature,$8.19,1 lb,$8.19/lb,224,14.00g,5.60g,0.50g,75.00mg,46.00mg,0.00g,0.00g,0.00g,22.00g,0.30mcg,16.00mg,1.40mg,278.80mg
Beef Loin Top Sirloin (Steak BNLS Cap Off Prime (sold by lb.)),Kirkland Signature,$10.99,1 lb,$10.99/lb,207,12.00g,4.80g,0.50g,78.00mg,84.00mg,0.00g,0.00g,0.00g,23.00g,0.20mcg,17.00mg,1.50mg,285.60mg
Beef Loin Top Sirloin (Cap Bnls Whole USDA Choice (sold per lb.)),Kirkland Signature,$5.99,1 lb,$5.99/lb,207,12.00g,4.80g,0.50g,78.00mg,84.00mg,0.00g,0.00g,0.00g,23.00g,0.20mcg,17.00mg,1.50mg,285.60mg
Beef Loin Top Sirloin (Boneless Cap Off USDA Choice Grade (sold per lb.)),Kirkland Signature,$7.29,1 lb,$7.29/lb,207,12.00g,4.80g,0.50g,78.00mg,84.00mg,0.00g,0.00g,0.00g,23.00g,0.20mcg,17.00mg,1.50mg,285.60mg
Beef Mandu (Beef Bulgogi),CJ Bibigo,$11.99,3 lb,$4.00/lb,280,9.00g,3.50g,0.50g,35.00mg,660.00mg,34.00g,1.00g,5.00g,15.00g,0%,4%,15%,0%
Beef Pot Roast,Ruprecht's Company,$7.99,1 lb,$7.99/lb,257,16.00g,6.50g,0.60g,102.00mg,43.00mg,0.00g,0.00g,0.00g,26.00g,0.30mcg,14.00mg,2.20mg,205.70mg
Beef Ribeye Roast (sold per lb.),Kirkland Signature,$11.99,1 lb,$11.99/lb,660,49.40g,1.50g,0.00g,0.00mg,0.00mg,0.00g,0.00g,0.00g,54.00g,0.00mcg,0.00mg,0.00mg,0.00mg
