"Product, Brand, and Size",Price per Unit,Price,Calories,Fat,,,Cholestrol,Sodium,Carbs,,,Protein,Vitamin D,Calcium,Iron,Potassium
Barilla Pasta Lasagne Oven-Ready Box - 10 Oz,($0.25 / Ounce),2.5,190,1.00g,0.00g,0.00g,0.00mg,0.00mg,43.00g,2.00g,0.00g,4.00g,0.00%,0.20%,0.00%,2.00%
Barilla Pasta Linguine Box - 16 Oz,($0.12 / Ounce),1.92,300,1.50g,0.40g,0.00g,0.00mg,3.00mg,63.00g,5.00g,2.00g,11.00g,0.00mcg,20.00mg,2.50mg,175.00mg
Barilla Pasta Linguine Whole Grain Box - 16 Oz,($0.12 / Ounce),1.92,180,1.50g,0.00g,0.00g,0.00mg,0.00mg,39.00g,7.00g,1.00g,8.00g,0.00mcg,26.00mg,1.80mg,274.00mg
Barilla Pasta Manicotti No. 388 Box - 8 Oz,($0.44 / Ounce),3.52,170,1.00g,0.00g,0.00g,0.00mg,0.00mg,37.00g,3.00g,1.00g,7.00g,0.00mcg,0.00mg,0.00mg,105.00mg
Barilla Pasta Orzo No. 26 Box - 16 Oz,($0.12 / Ounce),1.92,200,1.00g,0.00g,0.00g,0.00mg,0.00mg,42.00g,3.00g,1.00g,7.00g,0.00mcg,0.00mg,1.80mg,118.00mg
Barilla Pasta Penne Gluten Free Box - 12 Oz,($0.21 / Ounce),2.52,190,1.00g,0.00g,0.00g,0.00mg,0.00mg,44.00g,2.00g,0.00g,5.00g,0.00mcg,2.00mg,0.00mg,77.00mg
Barilla Pasta Penne No. 72 Box - 16 Oz,($0.12 / Ounce),1.92,200,1.00g,0.00g,0.00g,0.00mg,0.00mg,42.00g,2.00g,2.00g,7.00g,0.00%,0.00%,10.00%,0.00%
Barilla Pasta Penne Whole Grain Box - 16 Oz,($0.12 / Ounce),1.92,180,1.50g,0.00g,0.00g,0.00mg,0.00mg,39.00g,7.00g,1.00g,8.00g,0.00mcg,17.00mg,2.00mg,274.00mg
Barilla Pasta Red Lentil Spaghetti - 8.8 Oz,($0.51 / Ounce),4.488,180,1.50g,0.00g,0.00g,0.00mg,0.00mg,34.00g,6.00g,1.00g,12.00g,0.00mcg,0.00mg,0.00mg,518.00mg
Barilla Pasta Rigatoni No. 83 Box - 16 Oz,($0.12 / Ounce),1.92,200,1.00g,0.00g,0.00g,0.00mg,0.00mg,42.00g,3.00g,1.00g,7.00g,0.00mcg,12.00mg,2.00mg,118.00mg
Barilla Pasta Rotini No. 81 Box - 16 Oz,($0.12 / Ounce),1.92,190,1.50g,0.50g,0.00g,0.00mg,220.00mg,41.00g,5.00g,0.00g,7.00g,0.00mcg,13.00mg,1.00mg,40.00mg
Barilla Pasta Rotini Tri-Color No. 381 Box - 12 Oz,($0.17 / Ounce),2.04,200,1.00g,0.00g,0.00g,0.00mg,10.00mg,42.00g,3.00g,2.00g,7.00g,0.00mcg,0.00mg,0.00mg,157.00mg
Barilla Pasta Rotini Whole Grain Box - 16 Oz,($0.12 / Ounce),1.92,200,1.50g,0.00g,0.00g,0.00mg,10.00mg,41.00g,6.00g,2.00g,7.00g,0.00mcg,0.00mg,0.00mg,0.00mg
Barilla Pasta Shells Jumbo No. 333 Box - 12 Oz,($0.29 / Ounce),3.48,170,1.00g,0.00g,0.00g,0.00mg,0.00mg,37.00g,3.00g,1.00g,7.00g,0.00mcg,11.00mg,1.00mg,105.00mg
Barilla Pasta Shells Medium No. 393 Box - 16 Oz,($0.12 / Ounce),1.92,200,1.00g,0.00g,0.00g,0.00mg,0.00mg,42.00g,3.00g,1.00g,7.00g,0.00mcg,12.00mg,2.00mg,118.00mg
Barilla Pasta Spaghetti Box - 16 Oz,($0.12 / Ounce),1.92,300,1.50g,0.40g,0.00g,0.00mg,3.00mg,63.00g,5.00g,2.00g,11.00g,0.00mcg,20.00mg,2.50mg,175.00mg
Barilla Pasta Spaghetti Gluten Free Box - 12 Oz,($0.21 / Ounce),2.52,200,1.00g,0.00g,0.00g,0.00mg,0.00mg,44.00g,1.00g,0.00g,4.00g,0.00mcg,0.00mg,0.00mg,0.00mg
Barilla Pasta Spaghetti Thick No. 7 Box - 16 Oz,($0.12 / Ounce),1.92,200,1.00g,0.00g,0.00g,0.00mg,0.00mg,42.00g,3.00g,1.00g,7.00g,0.00mcg,12.00mg,2.00mg,118.00mg
Barilla Pasta Spaghetti Thin Box - 16 Oz,($0.12 / Ounce),1.92,200,1.00g,0.00g,0.00g,0.00mg,0.00mg,42.00g,3.00g,1.00g,7.00g,0.00mcg,0.00mg,1.80mg,118.00mg
Barilla Pasta Spaghetti Thin Whole Grain Box - 16 Oz,($0.12 / Ounce),1.92,180,1.50g,0.00g,0.00g,0.00mg,0.00mg,39.00g,7.00g,1.00g,8.00g,0.00mcg,26.00mg,1.80mg,274.00mg
Barilla Pasta Spaghetti Whole Grain Box - 16 Oz,($0.12 / Ounce),1.92,180,1.50g,0.00g,0.00g,0.00mg,0.00mg,39.00g,7.00g,1.00g,8.00g,0.00mcg,17.00mg,2.00mg,274.00mg
Barilla Penne Al Bronzo 14.1oz Pasta Box - 14.1 OZ,($0.21 / Ounce),2.961,200,1.00g,0.00g,0.00g,0.00mg,0.00mg,41.00g,3.00g,1.00g,8.00g,0.00mcg,0.00mg,0.00mg,118.00mg
Barkleys Beef Marrow Bones - 2.5 Lb,($4.00 / Lb),10,200,12.00g,3.50g,0.00g,25.00mg,570.00mg,1.00g,0.00g,0.00g,22.00g,0.00%,1880.00%,10.00%,0.00%
Bartlett Pear,($2.49 / Lb),0,101,0.30g,0.00g,9.00g,0.00mg,1.80mg,27.00g,5.50g,17.00g,0.60g,0.00mcg,16.00mg,0.30mg,206.50mg
Bavarian Meats Spicy Lil Landjaeger - 10 OZ,($1.60 / Ounce),16,120,9.00g,3.00g,0.00g,30.00mg,510.00mg,0.00g,0.00g,0.00g,9.00g,0.00%,0.00%,4.00%,0.00%
Bay Scallops Iqf - 1 Lb,($9.99 / Lb),9.99,100,1.00g,0.00g,0.00g,30.00mg,190.00mg,5.00g,0.00g,0.00g,19.00g,0.00mcg,10.00mg,0.00mg,480.00mg
Beef Brisket Flat Cut Kosher - 4.5 Lb,($17.99 / Lb),80.955,170,12.00g,5.00g,1.00g,65.00mg,1120.00mg,0.00g,0.00g,0.00g,16.00g,0.00%,0.00%,8.00%,0.00%
Beef Filet Mignon Tenderloin Steak Imported - 1 Lb,($19.99 / Lb),19.99,110,1.50g,0.00g,0.00g,0.00mg,230.00mg,22.00g,0.50g,4.00g,2.00g,0.40mcg,60.00mg,1.20mg,0.00mg
Beef Flank Steak Value Pack - 1 Lbs,($6.39 / Lb),6.39,180,9.00g,4.00g,0.00g,75.00mg,60.00mg,0.00g,0.00g,0.00g,24.00g,0.00%,0.00%,10.00%,0.00%
Beef Ground Beef 96% Lean 4% Fat - 1.25 Lb,($6.99 / Lb),8.7375,140,4.50g,2.00g,0.00g,60.00mg,85.00mg,0.00g,0.00g,0.00g,24.00g,0.00mcg,0.00mg,2.70mg,0.00mg
Beef Ground Beef Sliders 80% Lean 20% Fat - 1.25 Lb,($6.99 / Lb),8.7375,247,19.00g,7.30g,0.00g,71.00g,66.00mg,0.00mg,0.00g,0.00g,17.00g,0.10mcg,17.00mg,2.00mg,247.00mg
Beef Tongue - 3.5 Lb,($6.99 / Lb),24.465,240,19.00g,6.90g,0.70g,112.00mg,55.00mg,0.00g,0.00g,0.00g,16.00g,0.30mcg,4.30mg,2.20mg,156.40mg
Beef USDA Choice Bottom Round Steak - 1 Lb,($7.49 / Lb),7.49,220,14.00g,5.00g,0.00g,85.00mg,60.00mg,0.00g,0.00g,0.00g,23.00g,0.00%,0.00%,10.00%,0.00%
Beef USDA Choice Carne Asada Marinated - 1.5 Lb,($12.49 / Lb),18.735,170,11.00g,5.00g,0.00g,55.00mg,480.00mg,0.00g,1.00g,1.00g,18.00g,0.00%,3.00%,1.00%,0.00%
Beef USDA Choice Chuck Mock Tender Steak - 1 Lb,($8.49 / Lb),8.49,150,6.00g,2.50g,0.00g,75.00mg,90.00mg,0.00g,0.00g,0.00g,24.00g,0.00g,2.00g,15.00g,0.00mcg
Beef USDA Choice Chuck Steak Boneless Thin - 1 Lb,($10.99 / Lb),10.99,360,24.00g,10.00g,0.00g,135.00mg,85.00mg,0.00g,0.00g,0.00g,34.00g,0.00mcg,52.00mg,2.70mg,0.00mg
Beef USDA Choice Loin Tri Tip Steak Boneless Thin - 1 Lb,($10.99 / Lb),10.99,170,8.00g,3.00g,0.00g,60.00mg,680.00mg,3.00g,1.00g,1.00g,20.00g,0.00%,4.00%,10.00%,0.00%
Beef USDA Choice Outside Skirt Steak Boneless - 1.5 Lb,($14.99 / Lb),22.485,180,9.00g,3.50g,0.00g,75.00mg,75.00mg,0.00g,0.00g,0.00g,24.00g,0.00%,0.00%,15.00%,0.00%
Beef USDA Choice Roast Chuck Top Blade Boneless - 2.5 Lb,($9.99 / Lb),24.975,200,13.00g,4.50g,0.00g,75.00mg,85.00mg,0.00g,0.00g,0.00g,21.00g,0.00mcg,0.00mg,0.00mg,0.00mg
Beef USDA Choice Steak Bottom Round Thin - 1 Lb,($7.99 / Lb),7.99,170,7.00g,2.50g,0.00g,70.00mg,70.00mg,0.00g,0.00g,0.00g,24.00g,0.00g,0.00g,2.70mcg,0.00mg
Beef USDA Choice Steak Chuck Top Blade Boneless - 1 Lb,($10.99 / Lb),10.99,200,13.00g,4.50g,0.00g,75.00mg,85.00mg,0.00g,0.00g,0.00g,21.00g,0.00mcg,0.00mg,0.00mg,0.00mg
Beef USDA Choice Top Sirloin Steak Thick - 1.5 Lb,($11.99 / Lb),17.985,240,16.00g,6.00g,0.00g,60.00mg,55.00mg,0.00g,0.00g,0.00g,22.00g,0.00%,0.00%,10.00%,0.00%
Beef USDA Choice Top Sirloin Steak Thin - 1 Lb,($12.99 / Lb),12.99,180,10.00g,3.50g,0.00g,70.00mg,65.00mg,0.00g,0.00g,0.00g,21.00g,0.00%,0.00%,15.00%,0.00%
Beef USDA Prime Loin Tri Tip Steak - 1 Lb,($14.99 / Lb),14.99,120.1,6.30g,0.00g,0.00g,47.20mg,30.20mg,0.00g,0.00g,0.00g,14.80g,0.00mcg,10.80mg,0.90mg,183.80mg
Beef USDA Prime Ribeye Steak Boneless - 1 Lb,($29.99 / Lb),29.99,280,22.00g,10.00g,0.00g,75.00mg,55.00mg,0.00g,0.00g,0.00g,21.00g,0.00%,0.00%,10.00%,0.00%
Beef USDA Prime Roast Loin Tri Tip - 2.5 Lb,($13.99 / Lb),34.975,170,8.00g,3.00g,0.00g,60.00mg,680.00mg,3.00g,1.00g,1.00g,20.00g,0.00%,4.00%,10.00%,0.00%
Beef USDA Prime Tenderloin Tips - 0.75 Lb,($29.99 / Lb),22.4925,140,5.00g,2.50g,0.00g,0.00mg,0.00mg,0.00g,0.00g,0.00g,24.00g,0.00mcg,0.00mg,0.00mg,0.00mg
Beets - 1 Bunch,($2.99 / Each),2.99,20,0.00g,0.00g,0.00g,0.00g,50.00mg,4.00mg,0.00g,4.00g,0.00g,0.00mcg,0.00mg,0.00mg,0.00mg
Beets Baby Stripe - Each,($0.33 / Each),0,20,0.00g,0.00g,0.00g,0.00mg,170.00mg,3.00g,0.50g,1.50g,0.50g,0.00mcg,0.00mg,0.40mg,96.00mg
Belgian Endive Lettuce,($3.99 / Lb),0,9,0.10g,0.00g,0.00g,0.00mg,1.10mg,2.10g,1.60g,0.00g,0.50g,0.00g,10.00mcg,0.10mg,111.80mg
Bellwether Farms Yogurt Sheep Plain - 6 Oz,($0.58 / Ounce),3.48,130,7.00g,4.00g,0.00g,20.00mg,80.00mg,9.00g,0.00g,7.00g,9.00g,0.00mcg,390.00mg,0.00mg,0.00mg
Ben's Original Ready Basmati Rice Pouch - 8.5 Oz,($0.35 / Ounce),2.975,400,6.00g,0.50g,0.00g,0.00mg,20.00mg,76.00g,0.50g,0.00g,9.00g,0.00mcg,70.00mg,1.50mg,180.00mg
Ben's Original Ready Jasmine Rice Pouch - 8.5 Oz,($0.35 / Ounce),2.975,420,4.50g,1.00g,0.00g,0.00mg,20.00mg,87.00g,2.00g,0.50g,8.00g,0.00mcg,20.00mg,3.60mg,90.00mg
Ben's Original Ready Long Grain White Rice Pouch - 8.8 Oz,($0.34 / Ounce),2.992,350,5.00g,0.50g,0.00g,0.00mg,0.00mg,69.00g,2.00g,0.00g,7.00g,0.00mcg,70.00mg,3.80mg,150.00mg
Benecol Regular Spread Veg Oil - 8 Oz,($0.87 / Ounce),6.96,70,8.00g,1.00g,0.50g,0.00mg,110.00mg,0.00g,0.00g,0.00g,0.00g,0.00mcg,0.00mg,0.00mg,0.00mg
Beretta Antipasto Tray - 6 Oz,($1.50 / Ounce),9,60,3.50g,1.50g,0.00g,20.00mg,520.00mg,0.00g,0.00g,0.00g,7.00g,0.00%,0.00%,2.00%,0.00%
Berkeley Milk 2% - Gallon,($0.09 / Fl.oz),0,122,4.90g,3.10g,0.20g,19.50mg,114.50mg,11.50g,0.00g,12.50g,8.00g,3.00mcg,293.00mg,0.10mg,341.60mg
Better Than Bouillon Base Organic Beef - 8 Oz,($1.12 / Ounce),8.96,10,0.00g,0.00g,0.00g,0.00mg,330.00mg,2.00g,0.00g,1.00g,0.00g,0.00mcg,0.00mg,0.00mg,0.00mg
Better Than Bouillon Base Premium Roasted Beef - 8 Oz,($0.94 / Ounce),7.52,10,0.00g,0.00g,0.00g,0.00mg,680.00mg,1.00g,0.00g,1.00g,0.50g,0.00mcg,0.00mg,0.00mg,0.00mg
Better Than Bouillon Base Premium Roasted Chicken - 8 Oz,($0.94 / Ounce),7.52,15,0.00g,0.00g,0.00g,0.00mg,500.00mg,2.00g,0.00g,2.00g,1.00g,0.00mcg,0.00mg,0.00mg,0.00mg
Better Than Bouillon Base Reduced Sodium Beef - 8 Oz,($1.00 / Ounce),8,15,0.50g,0.00g,0.00g,0.00mg,350.00mg,2.00g,0.00g,1.50g,0.50g,0.00mcg,0.00mg,0.00mg,0.00mg
Better Than Bouillon Base Turkey - 8 Oz,($0.94 / Ounce),7.52,15,0.50g,0.00g,0.00g,0.00mg,580.00mg,2.00g,0.00g,2.00g,1.00g,0.00mcg,0.00mg,0.00mg,0.00mg
Beyond Meat Beyond Burger Plant Based Patties 2 Count - 8 Oz,($0.75 / Ounce),6,270,20.00g,5.00g,0.00g,0.00mg,380.00mg,5.00g,3.00g,0.00g,20.00g,0.00%,2.00%,30.00%,0.00%
Beyond Meat Plant-Based Jerky - 1 OZ,($2.49 / Ounce),2.49,90,2.00g,0.50g,0.00g,0.00mg,500.00mg,8.00g,0.00g,5.00g,10.00g,0.00mcg,0.00mg,0.00mg,100.00mg
Beyond Meat Vegetable Jerky Hot & Spicy - 3 OZ,($1.76 / Ounce),5.28,90,2.00g,0.50g,0.00g,0.00mg,460.00mg,8.00g,2.00g,4.00g,10.00g,0.00mcg,0.00mg,0.00mg,170.00mg
Beyond Meat Vegetable Jerky Teriyaki - 3 OZ,($2.50 / Ounce),7.5,90,2.00g,0.50g,0.00g,0.00mg,450.00mg,10.00g,2.00g,5.00g,10.00g,0.00mcg,0.00mg,0.00mg,110.00mg
Bh Uncured Turkey Bacon - 12 OZ,($0.58 / Ounce),6.96,45,2.00g,0.50g,0.00g,20.00mg,200.00mg,0.00g,0.00g,0.00g,6.00g,0.00mcg,0.00mg,0.00mg,0.00mg
Bibigo Entree Korean Bbq Chicken - 20 OZ,($0.40 / Ounce),8,270,7.00g,1.00g,0.00g,35.00mg,740.00mg,41.00g,1.00g,5.00g,10.00g,0.00%,4.00%,6.00%,0.00%
Bibigo Korean Style Crunchy Chicken Soy Garlic - 18 OZ,($0.44 / Ounce),7.92,360,16.00g,2.50g,0.00g,55.00mg,780.00mg,34.00g,0.00g,26.00g,18.00g,0.00mcg,10.00mg,1.30mg,140.00mg
Big Shoulders Boneless Ribs In BBQ Sauce - 16 Oz,($0.59 / Ounce),9.44,300,17.00g,6.00g,0.00g,60.00mg,920.00mg,21.00g,0.50g,18.00g,14.00g,0.00%,4.00%,6.00%,0.00%
Big Shoulders Pulled Pork In BBQ Sauce - 16 Oz,($0.59 / Ounce),9.44,90,3.00g,1.00g,0.00g,25.00mg,380.00mg,9.00g,0.00g,7.00g,7.00g,0.00%,1.10%,5.60%,0.00%
Black Beans - 20 Lb,($6.99 / Each),139.8,227,0.90g,0.20g,0.00g,0.00mg,1.70mg,41.00g,15.00g,0.60g,15.00g,0.00mcg,46.00mg,3.60mg,610.60mg
Black Cod Fillet Skin Off Fresh - 1 Lb,($14.99 / Lb),14.99,80,339.00g,1.00g,0.40g,0.00mg,0.00mg,0.30g,0.10g,0.00g,0.10g,0.00mcg,0.00mg,0.00mg,0.00mg
Black Seedless Grapes Prepacked Bag - 2 Lb,($2.99 / Lb),5.98,90,1.00g,0.00g,0.00g,0.00mg,0.00mg,24.00g,1.00g,23.00g,1.00g,0.00%,2.00%,2.00%,0.00%
Bland Farms Organic Onions Sweet Bag Prepacked - 2 Lb,($2.00 / Lb),4,60,0.00g,0.00g,0.00g,0.00mg,5.00mg,14.00g,3.00g,6.00g,2.00g,0.00mcg,4.00mg,0.00mg,216.00mg
Blood Moro Orange,($2.49 / Lb),0,70,0.50g,0.00g,0.00g,0.00mg,0.00g,15.00g,3.00g,14.00g,1.00mcg,0.00mcg,0.00mg,0.00mg,0.00mg
Blue Diamond Almond Breeze Almondmilk Original - 64 Fl. Oz.,($0.10 / Fl.oz),6.4,30,2.50g,0.00g,0.00g,0.00mg,170.00mg,1.00g,0.50g,0.00g,1.00g,5.00mcg,450.00mg,0.70mg,160.00mg
Blue Runner Gumbo Base Creole For Chicken & Sausage - 25 Oz,($0.30 / Ounce),7.5,200,13.00g,2.00g,0.00g,0.00mg,820.00mg,18.00g,2.00g,4.00g,3.00g,0.00%,4.00%,8.00%,0.00%
Bluehouse Salmon Atlantic Portion Skin-on - 6 OZ,($8.99 / Each),53.94,300,19.00g,2.50g,0.00g,79.00mg,810.00mg,3.00g,2.00g,0.50g,29.00g,13.00mcg,25.00mg,2.00mg,585.00mg
Bluehouse Salmon Fillet Fresh Atlantic Salmon - 1 Lb,($18.49 / Lb),18.49,250,17.00g,3.00g,0.00g,65.00mg,60.00mg,2.00g,0.00g,0.00g,23.00g,4.50mcg,0.00mg,0.40mg,140.00mg
Boar's Head 46% Lower Sodium Turkey - 0.50 Lb,($15.99 / Lb),7.995,60,1.00g,0.00g,0.00g,20.00mg,360.00mg,0.00g,0.00g,0.00g,12.00g,0.00mcg,0.00mg,0.00mg,0.00mg
Boar's Head All Natural Uncured Smoked Bacon - 12 Oz,($0.83 / Ounce),9.96,50,3.50g,1.00g,0.00g,10.00mg,250.00mg,0.00g,0.00g,0.00g,4.00g,0.00mcg,0.00mg,0.00mg,70.00mg
Boar's Head Beef Bologna - 0.50 Lb,($11.99 / Lb),5.995,150,13.00g,4.00g,0.00g,35.00mg,430.00mg,0.00g,0.00g,0.00g,7.00g,0.00mcg,0.00mg,0.00mg,0.00mg
Boar's Head Bologna - 6 Oz,($1.17 / Ounce),7.02,150,13.00g,4.50g,0.00g,35.00mg,530.00mg,1.00g,0.00g,1.00g,7.00g,0.00mcg,0.00mg,0.00mg,0.00mg
Boar's Head Capocollo Sweet Half - 0.50 Lb,($18.99 / Lb),9.495,80,7.00g,2.50g,0.00g,25.00mg,590.00mg,0.00g,0.00g,0.00g,7.00g,0.00mcg,0.00mg,2.00mg,0.00mg
Boar's Head Cappocollo Hot - 0.50 Lb,($18.99 / Lb),9.495,80,7.00g,2.50g,0.00g,25.00mg,580.00mg,0.00g,0.00g,0.00g,7.00g,0.00mcg,0.00mg,0.40mg,0.00mg