Product,Serving size,Calories,Total Fat,Total Fat(g),Saturated fat,Saturated Fat(g),Trans Fat(g),Cholesterol,Cholesterol(mg),Sodium,Sodium(mg),Total Carbohydrates,Total Carbohydrates(g),Dietery Fiber,Dietery Fiber(g),Sugars(g),Protein(g),Vitamin A,Vitamin C,Calcium,Calcium(mg),Iron,Iron(mg),Potassium,Potassium(mg)
10 Minute Farro,0.3 cup dry,170,2%,1,0%,0,0 ,0%,0,0%,0,11%,34,8%,2,0 ,5 ,0%,0%,1%,,11%,,5%,170 
21 Seasoning Salute,0.3 tsp ,0,0%,0,,,,,,0%,0,0%,0,,,,0 ,,,,,,,,
Organic 3 Grain Tempeh,3 oz,190,12%,8,5%,1,0 ,0%,0,0%,0,4%,11,40%,10,0 ,19 ,0%,0%,6%,,10%,,7%,260 
4 Cheese Ravioli,1 cup,250,13%,10,18%,3.5,0 ,18%,55,27%,620,11%,31,4%,1,5 ,9 ,,,6%,78 ,4%,1 ,6%,282 
A Dozen Sweet Bites,1 piece,60,6%,4,10%,2,0 ,3%,10,0%,10,2%,6,2%,0.5,5 ,1 ,4%,0%,2%,,2%,,,
ABC Bars,1 Bar,160,10%,8,5%,1,0 ,0%,0,4%,95,7%,19,7%,2,6 ,4 ,,,3%,40 ,6%,1 ,3%,130 
Acai Bowl,1 Bowl,260,13%,10,23%,4.5,0 ,0%,0,1%,20,16%,44,32%,9,18 ,4 ,,,4%,50 ,10%,2 ,10%,450 
Acai Puree Packets,1 Packets,80,8%,6,8%,1.5,0 ,0%,0,1%,20,2%,5,14%,4,0 ,2 ,,,4%,50 ,4%,1 ,4%,180 
Ahi Tuna Steaks,4 oz,120,1%,0.5,0%,0,0 ,15%,45,2%,50,0%,0,0%,0,0 ,28 ,,,0%,0 ,4%,1 ,10%,470 
Aioli Garlic Mustard Sauce,1 tsp,15,1%,1,0%,0,0 ,0%,0,2%,50,0%,0,0%,0,0 ,0 ,,,0%,0 ,0%,0 ,0%,7 
Ajika Georgian Seasoning Blend,0.3 tsp ,0,0%,,,,,,,0%,0,0%,0,,,,0 ,,,,,,,,
Ak-Mak Crackers,1 Crackers,116,3%,2.27,2%,0;48,0 ,0%,0,9%,214,6%,19,14%,3.5,2 ,5 ,0%,0%,0%,,6%,,,
Alfredo Pasta Sauce,0.25 cup,80,8%,6,20%,4,0 ,0%,35,12%,280,1%,3,0%,0,1 ,2 ,,,6%,78 ,0%,,0%,0 
All Natural Bone-In Skin On Chicken Thighs,4 oz,250,24%,19,25%,5,0 ,37%,110,4%,90,0%,0,0%,0,0 ,19 ,,,0%,10 ,4%,1 ,4%,230 
"All Purpose Flour [Organic, Unbleached]",0.25 cup,110,0%,0,0%,0,0 ,0%,0,0%,0,8%,23,3%,1,0 ,3 ,,,0%,0 ,2%,0 ,0%,30 
All Purpose Flour [Gluteen Free],0.25 cup,110,1%,1,0%,0,0 ,0%,0,1%,15,8%,23,4%,1,0 ,2 ,,,1%,10 ,4%,1 ,,
Allulose Sweetner Blend,2 tsp,0,0%,0,0%,0,0 ,0%,0,0%,0,3%,8,0%,0,0 ,0 ,,,,,,,0%,0 
"Almond Beverage [Organic, Original]",1 cup,40,4%,3,0%,0,0 ,0%,0,7%,150,1%,2,4%,1,1 ,1 ,10%,,4%,50 ,0%,0 ,,
Almond Beverage [Unsweetened Vanilla],1 cup,30,3%,2.5,0%,0,0 ,0%,0,8%,190,0%,1,2%,0.5,1 ,1 ,,,30%,390 ,2%,0 ,1%,35 
Non Diary Almond Beverage Unsweetened Original,1 cup,30,3%,2.5,0%,0,0 ,0%,0,7%,160,0%,1,2%,0.5,1 ,1 ,,,30%,390 ,2%,0 ,1%,35 
Almond Beverage Orignial Vanilla,1 cup,40,5%,3,0%,0,0 ,0%,0,8%,180,1%,2,4%,1,1 ,1 ,,,,,,,,
Almond Butter[Curnchy Unsalted],2 tbsp,190,26%,17,5%,1,0 ,0%,0,0%,0,2%,6,12%,3,2 ,8 ,0%,0%,10%,,6%,,,
Almond Butter [Creamy with Sea Salt],2 tbsp,190,26%,17,5%,1,0 ,0%,0,3%,60,2%,6,12%,3,2 ,8 ,0%,0%,10%,,6%,,,
Almond Butter Chia Overnight Oats,1 container,340,26%,20,13%,2.5,0 ,0%,0,17%,160,12%,33,29%,8,13 ,12 ,,,10%,130 ,15%,3 ,10%,470 
Almond Butter Granola,.7 cup,280,15%,12,10%,2,0 ,0%,0,6%,130,13%,37,14%,4,12 ,6 ,,,4%,50 ,9%,2 ,4%,210 
Almond Butter Puff Cereal,1 cup,200,13%,10,5%,1,0 ,0%,0,3%,80,7%,20,7%,2,6 ,6 ,,,5%,60 ,7%,1 ,4%,180 
Almond Cashew & Macadamia Nut Beverage,1 cup,30,3%,2.5,0%,0,0 ,0%,0,5%,120,0%,1,2%,0.5,0 ,1 ,,,12%,160 ,2%,0 ,1%,30 
Almond Flour Chocolate Chip Cookie Baking mix,.1 pkg dry mix,110,9%,7,8%,1.5,0 ,0%,0,4%,90,4%,12,4%,1,6 ,2 ,,,3%,40 ,7%,1 ,2%,110 
Raw Almonds,1 bag,200,26%,17,8%,1.5,0 ,0%,0,0%,0,3%,8,16%,4,1 ,7 ,0%,0%,10%,,8%,,,
Organic Raw Almonds,.3 cup,170,23%,15,5%,1,0 ,0%,0,0%,0,2%,6,16%,4,1 ,6 ,0%,0%,8%,,8%,,,
Almonds Dry Roasted & Salted,.3 cup,170,23%,15,5%,1,0 ,0%,0,5%,115,2%,5,16%,4,1 ,7 ,0%,0%,8%,,6%,,,
Raw Slivered Almonds,.3 cup,170,23%,15,5%,1,0 ,0%,0,0%,0,2%,6,12%,3,1 ,7 ,0%,0%,5%,,6%,,6%,198 
"Organic Almonds, Raw",1 oz,170,15%,12,5%,1,0 ,0%,0,0%,5,3%,8,14%,4,1 ,6 ,,,4%,49 ,6%,1 ,3%,139 
Aloe Vera Juice,8 fl oz,35,0%,0,0%,0,0 ,0%,0,4%,90,3%,10,0%,0,8 ,0 ,0%,2%,2%,,0%,,,
Aloha Rolls [Sweet Pull Apart],1 roll,90,1%,1,0%,0,0 ,1%,2.5,5%,110,7%,19,4%,1,5 ,5 ,,,0%,0 ,4%,1 ,1%,30 
Kati Pouches,1 pouch,270,17%,13,13%,2.5,0 ,2%,5,29%,660,12%,34,14%,4,4 ,7 ,,,2%,30 ,19%,3 ,6%,270 
Anchovy [flat fillet],6 pieces,25,2%,1,0%,0,0 ,7%,20,30%,700,0%,0,0%,0,0 ,4 ,0%,0%,4%,40 ,2%,0 ,0%,0 
Ancient Grains & Nuts Granola,.8 cup,220,15%,10,20%,4,0 ,0%,0,1%,15,3%,95,16%,4,8 ,5 ,0%,0%,2%,,8%,,,
Ancient Grains & Supper seed Oatmeal,.3 cup,160,9%,6,5%,1,0 ,0%,0,1%,35,8%,24,16%,4,1 ,6 ,0%,0%,4%,,6%,,,
"Angus Beef, Burger",1 patty,290,35%,23,45%,9,2 ,27%,80,3%,75,0%,0,0%,0,0 ,19 ,0%,0%,2%,,10%,,,
"Angus Beef, center cut filet mignon steak",4 oz,280,32%,21,45%,9,1 ,33%,100,3%,60,0%,0,0%,0,0 ,22 ,0%,0%,2%,,8%,,10%,3 
"Angus Beef, Filet mignon Premium steak",4 oz,280,32%,21,45%,9,1 ,33%,100,3%,60,0%,0,0%,0,0 ,22 ,0%,0%,2%,,8%,,10%,3 
Angus Ground Beef,4 oz,190,20%,13,35%,7,1 ,20%,60,3%,70,0%,0.5,2%,0.5,1 ,20 ,0%,0%,0%,,15%,,,
New York Strip steak,4 oz,260,28%,18,35%,7,1 ,30%,90,3%,60,0%,0,0%,0,0 ,23 ,0%,0%,0%,,8%,,10%,4 
Organic Animal Cracker,16 Crackers,120,3%,2,0%,0,0 ,0%,0,5%,120,8%,24,2%,0.5,6 ,2 ,0%,0%,0%,,4%,,0%,0 
Apple Banana Fruit Bar,1 bar,80,0%,0,0%,0,0 ,0%,0,0%,0,8%,21,7%,2,16 ,1 ,,,0%,1 ,0%,0 ,5%,241 
Fruit Bar Apple + Coconut,1 bar,90,3%,2,10%,2,0 ,0%,0,0%,0,6%,18,8%,2,11 ,0 ,0%,2%,0%,,4%,,,
Fruit Bar Apple + Mango,1 bar,80,0%,0,0%,0,0 ,0%,0,0%,0,8%,21,7%,2,18 ,0 ,,,1%,10 ,0%,0 ,4%,173 
Apple & Strawberry  Fruit Bars,1 bar ,80,0%,0,0%,0,0 ,0%,0,0%,10,6%,17,11%,3,13 ,0 ,,,1%,7 ,0%,0 ,7%,311 
Apple Apricot Diet Fruit Bars,1 bar ,50,0%,0,0%,0,0 ,0%,0,0%,0,4%,11,8%,2,9 ,0 ,0%,35%,0%,,0%,,,
"Jam, Apple Cider",1 tbsp,30,0%,0,0%,0,0 ,5%,0,0%,10,3%,7,0%,0,7 ,0 ,,,,,,,,
"Apple Cider Vinegar, Organic",1 tbsp,10,0%,0,0%,0,0 ,0%,0,0%,0,0%,0.5,0%,0,0 ,0 ,,,,,,,,
Oatmeal Bites Apple Cinnamon,3 pieces,240,14%,11,18%,3.5,0 ,7%,20,18%,410,11%,30,11%,3,11 ,5 ,,,7%,90 ,5%,1 ,4%,210 
Apple Juice,8 fl oz,120,0%,0,,,,,,1%,35,10%,30,,,30 ,,,100%,,,,,,
"Dried Fruit Bar, Apple Raspberry",1 bar ,60,0%,0,0%,0,0 ,0%,0,0%,0,5%,15,8%,2,11 ,0 ,0%,20%,0%,,0%,,3%,90 
"Dried Fruit Bar, Apple Strawberry",1 bar ,60,0%,0,0%,0,0 ,0%,0,0%,0,4%,12,8%,2,10 ,0 ,0%,15%,,,,,4%,125 
Pinata Apples,1 med apple,80,0%,0,0%,0,0 ,0%,0,0%,0,7%,21,16%,4,16 ,0 ,2%,10%,0%,,2%,,,
Organic Granny Smith Apples,1 med apple,80,0%,0,0%,0,0 ,0%,0,0%,0,7%,22,16%,4,16 ,0 ,2%,12%,0%,,2%,,5%,170 
Gala Apple,1 med apple,80,0%,0,0%,0,0 ,0%,0,0%,0,7%,22,16%,4,16 ,0 ,2%,12%,0%,,2%,,,
Pink Lady Apple,1 med apple,80,0%,0,0%,0,0 ,0%,0,0%,0,7%,22,16%,4,16 ,0 ,2%,12%,0%,,2%,,,
Honeycrisp Apple,1 med apple,80,0%,0,0%,0,0 ,0%,0,0%,0,7%,22,16%,4,16 ,0 ,2%,12%,0%,,2%,,,
Granny Smith Apples,1 med apple,80,0%,0,0%,0,0 ,0%,0,0%,0,7%,22,16%,4,16 ,0 ,2%,12%,0%,,2%,,,
Organic Fuji Apple,1 med apple,80,0%,0,0%,0,0 ,0%,0,0%,0,7%,22,16%,4,16 ,0 ,2%,12%,0%,,2%,,,
"Preserves, Apricots",1 tbsp,60,0%,0,,,,,,,,5%,14,,,13 ,,,,,,,,,
Artichoke Antipasto,2 tbs,70,11%,7,0%,0,0 ,0%,0,8%,180,1%,3,4%,1,0 ,0 ,0%,0%,0%,0 ,0%,,0%,0 
Artichoke Hearts,.5 cup,35,0%,0,0%,0,0 ,0%,0,1%,20,2%,7,16%,4,1 ,2 ,0%,4%,2%,,3%,,7%,250 
Artichoke Timbales,1 piece,130,12%,9,15%,3,0 ,2%,5,24%,550,3%,7,18%,5,1 ,4 ,,,9%,120 ,3%,1 ,6%,290 
Asian Style Vegetable Stir Fry,.5 cup,25,0%,0,0%,0,0 ,0%,0,1%,20,2%,5,7%,2,2 ,2 ,,,2%,26 ,2%,0 ,4%,188 
Asian vegetable Stir Fry,.5 cup,25,0%,0,0%,0,0 ,0%,0,1%,20,2%,5,8%,2,2 ,2 ,35%,60%,2%,,2%,,5%,188 
Asian Style Spicy Peanut Vinaigrette,2 tbsp,80,8%,5,3%,0.5,0 ,0%,0,13%,300,3%,10,0%,0,9 ,1 ,0%,2%,0%,,2%,,,
Asian Vegetable with Beijing Style Soy Sauce,1 cup,100,0%,0,0%,0,0 ,0%,0,30%,700,4%,11,14%,4,12 ,4 ,,,4%,51 ,6%,1 ,4%,174 
Shrimp Stir Fry,1 cup,60,0%,0,0%,0,0 ,13%,40,12%,270,2%,5,11%,3,3 ,8 ,,,5%,63 ,6%,1 ,4%,202 
Asparagus,4 spears ,15,0%,0,0%,0,0 ,0%,0,0%,0,1%,3,8%,2,2 ,2 ,15%,8%,2%,,10%,,,
Farm Raised Atlantic Salmon,1 fillet ,240,19%,15,18%,3.5,0 ,20%,60,3%,65,0%,0,0%,0,0 ,23 ,,,1%,10 ,2%,0 ,9%,410 
Avocado Oil,1 tbsp,120,22%,14,13%,2.5,0 ,0%,0,0%,0,0%,0,0%,0,0 ,0 ,,,,,,,,
Avocados,1 avocado,322,45%,29,22%,4.3,,0%,0,1%,14,6%,17,56%,14,1 ,4 ,6%,34%,2%,,6%,,,
Organic Hass Avocado,.5 fruit,114,15%,10,8%,1.5,,0%,0,0%,5.4,2%,5.9,18%,4.6,0 ,1 ,0%,0%,1%,,2%,,,
BBQ & Black pepper Toscano Chopped Salad,1 serving ,140,12%,9,15%,3,0 ,2%,5,9%,200,5%,15,7%,2,8 ,4 ,,,8%,100 ,4%,1 ,4%,170 
BBQ rub and Seasoning with Coffee & Garlic,.3 tsp,0,0%,0,,,,,,2%,50,0%,,,,0 ,0 ,,,,,,,,
BBQ Sauce Kansas city style,2 tbsp,45,0%,0,0%,0,0 ,0%,0,11%,250,4%,11,0%,0,10 ,1 ,,,,,,,,
Organic Kansas city style BBQ sauce,2 tbsp,45,0%,0,0%,0,0 ,0%,0,11%,250,4%,11,0%,0,10 ,1 ,,,,,,,,
Sweet & Spicy Pineapple BBQ Sauce,2 tbsp,50,0%,0,0%,0,1 ,0%,0,11%,250,4%,11,0%,0,10 ,1 ,,,,,,,,
Arugulas Organic,3 oz,20,1%,0.5,0%,0,0 ,0%,0,1%,25,1%,3,4%,1,2 ,2 ,,,10%,136 ,6%,1 ,7%,314 
Baby Back Pork Rips ,5 oz,320,29%,19,35%,7,0 ,28%,85,22%,530,5%,16,0%,0,13 ,22 ,6%,0%,10%,,20%,,,
Baby Beets,2 baby beets,40,0%,0,0%,0,0 ,0%,0,1%,30,3%,8,8%,2,7 ,1 ,0%,4%,2%,,4%,,,
Baby Broccoli,1 cup,35,1%,0.5,0%,0,0 ,0%,0,2%,35,3%,7,14%,4,1 ,2 ,,,6%,80 ,4%,1 ,7%,340 
Organic Carrots of many colors,1 carrot,30,0%,0,0%,0,0 ,0%,0,3%,60,2%,7,8%,2,5 ,1 ,110%,10%,2%,,2%,,,
"Organic Carrots of many colors, Cut and peeled", 3 oz,40,0%,0,0%,0,0 ,0%,0,2%,35,3%,9,11%,3,6 ,1 ,,,2%,26 ,,,6%,282 
Cauliflower,.2 med head,20,0%,0,0%,0,0 ,0%,0,1%,25,2%,5,8%,2,2 ,2 ,0%,60%,1%,,2%,,,
Organics Lettuce mix,5 oz,25,0%,0,0%,0,0 ,0%,0,1%,25,1%,4,7%,2,1 ,2 ,,,4%,48 ,6%,1 ,7%,314 
Organic baby Red Butter Lettuce& baby spinach blend,2 cups,15,0%,0,0%,0,0 ,0%,0,2%,35,1%,2,4%,1,1 ,2 ,,,5%,60 ,9%,2 ,7%,340 
Baby Spinach,2 cups,20,0%,0,0%,0,0 ,0%,0,3%,65,1%,3,7%,2,0 ,2 ,,,6%,80 ,13%,2 ,10%,470 
baby sweet bell peppers,1 mini pepper,8.7,0%,0.1,0%,0,0 ,0%,0,0%,1.1,1%,1.7,2%,0.6,1 ,0 ,,,,,,,,
baby zucchini,.8 cup,15,0%,0,0%,0,0 ,0%,0,0%,5,1%,3,4%,1,2 ,1 ,4%,25%,2%,,1%,,6%,220 
Bagels,1 bagel,320,6%,4,3%,0.5,0 ,0%,0,17%,410,21%,64,8%,2,7 ,11 ,0%,0%,4%,,15%,,,
Everything Bagels,1 bagel,240,4%,3,3%,0.5,0 ,0%,0,8%,190,17%,46,7%,2,3 ,8 ,,,5%,60 ,16%,3 ,3%,120 
organic baked beans,.5 cup,140,0%,0,0%,0,0 ,0%,0,19%,450,10%,29,28%,7,10 ,7 ,0%,2%,4%,,15%,,,
"Organic baked tofu,teriyaki flavor",1 piece,190,12%,8,5%,1,0 ,0%,0,22%,530,5%,15,12%,3,2 ,15 ,0%,4%,6%,,17%,,,
Caramel Sea Salt baking chip,1 tbsp,80,5%,4,18%,3.5,0 ,0%,0,3%,65,4%,10,0%,0,10 ,0 ,,,1%,10 ,1%,0 ,1%,30 
baking powder,.1 tsp,0,0%,0,,,,,,2%,55,0%,0,,,,0 ,,,,,,,,
organic balsamic vinegar of modena,1 tbsp,45,0%,0,,,,,,0%,10,4%,10,0%,0,9 ,0 ,,,,,,,,
Fat free balsamic vinaigrette,2 tbsp,25,0%,0,0%,0,0 ,0%,0,7%,170,2%,6,0%,0,5 ,0 ,,,,,,,,
Balsamic vinaigrette,2 tbsp,25,0%,0,0%,0,0 ,0%,0,7%,170,2%,6,0%,0,5 ,0 ,,,,,,,,
Bambino Pepperoni pizza,1 pizza,280,18%,12,30%,6,0 ,8%,25,33%,790,10%,31,4%,1,1 ,13 ,15%,10%,20%,,6%,,,
Bambino pizza,1 pizza,250,14%,9,25%,5,0 ,7%,20,27%,650,10%,30,4%,1,3 ,11 ,15%,10%,20%,,6%,,,
Banana bread with Walnut,.1 loaf,210,12%,9,3%,0.5,0 ,0%,0,5%,125,11%,30,2%,0.5,17 ,2 ,,,,,,,,
Thia Banana Fritter,.5 package,270,15%,12,25%,5,0 ,0%,0,4%,100,13%,37,11%,3,19 ,2 ,,,,,,,,
"Bao buns, Philly Cheesesteak",2 buns,210,6%,5,13%,2.5,0 ,5%,15,13%,300,12%,32,11%,3,5 ,10 ,,,8%,100 ,3%,1 ,3%,130 
Bartlett pears,1 med pear,100,0%,0,0%,0,0 ,0%,0,0%,0,9%,26,20%,5,16 ,1 ,0%,12%,2%,,2%,,,
organic fresh basil,1 leaf,0,0%,0,0%,0,0 ,0%,0,0%,0,0%,0,0%,0,0 ,0 ,,,,,,,,
Basmati rice,.3 cup,160,0%,0,0%,0,0 ,0%,0,0%,0,13%,36,4%,1,0 ,4 ,,,,,,,1%,63 
"Burrito, 99% Fat free bean & rice",1 burrito,260,2%,1,0%,0,0 ,0%,0,20%,490,16%,48,28%,7,2 ,13 ,10%,25%,10%,,15%,,,
Beef & Broccoli entrée,1 cup,230,10%,8,10%,2,0 ,5%,15,18%,410,11%,31,7%,2,18 ,8 ,,,2%,20 ,10%,2 ,5%,230 
Beef Broth organic,1 cup,15,0%,0,0%,0,0 ,1%,2.5,24%,570,0%,1,0%,0,1 ,2 ,0%,0%,2%,,2%,,,
Beef bone broth,1 cup,45,0%,0,0%,0,0 ,0%,0,12%,280,0%,0,0%,0,0 ,10 ,,,2%,20 ,,,1%,50 
Angus beef chili with beans,1 cup,310,21%,16,25%,5,1 ,15%,45,33%,760,9%,25,21%,6,5 ,18 ,,,6%,78 ,30%,5 ,15%,705 
Beef tip top roast,4 oz,180,5%,10,18%,3.5,0 ,23%,70,15%,370,0%,0.5,0%,0,0 ,21 ,2%,0%,4%,,10%,,,
Beef Cabbage roll,1 roll,110,9%,7,10%,2,0 ,5%,15,10%,220,3%,7,7%,2,2 ,5 ,,,2%,30 ,4%,1 ,4%,200 
Beef Short rips,3 oz ,190,18%,14,30%,6,1 ,20%,60,14%,330,0%,0,0%,0,0 ,14 ,,,1%,10 ,10%,2 ,5%,220 
Beef sirloin taco kit,1 taco ,270,15%,12,25%,5,0 ,12%,35,30%,680,10%,27,4%,1,1 ,14 ,,,10%,130 ,10%,2 ,5%,250 
beef stew ,1 cup,260,17%,11,18%,3.5,0 ,22%,65,24%,580,5%,15,8%,2,4 ,24 ,90%,4%,4%,,15%,,,
beef less ground beef,.3 cup,60,2%,1,0%,0,0 ,0%,0,11%,270,1%,4,12%,3,1 ,9 ,0%,10%,6%,,15%,,,
bell peppers,1 pepper,30,0%,0,0%,0,0 ,0%,0,0%,0,3%,7,4%,1,3 ,1 ,,,1%,10 ,3%,1 ,4%,210 
soft pretzels,1 pretzel,270,5%,4,0%,0,0 ,0%,0,19%,440,15%,40,7%,2,3 ,7 ,,,2%,20 ,6%,1 ,2%,90 
Assorted chocolate half - dipped almond biscotti,1 piece ,160,10%,8,15%,3,0 ,7%,20,2%,50,7%,20,4%,1,11 ,3 ,,,2%,30 ,6%,1 ,1%,70 
Soft bite mini chocolate hazelnut biscotti,3 cookies,170,12%,8,18%,3.5,0 ,8%,25,3%,75,8%,23,8%,2,13 ,3 ,2%,0%,4%,,10%,,,
Soft bite mini Almond biscotti,3 pieces,130,9%,6,10%,2,0 ,8%,25,2%,55,6%,18,2%,0.5,9 ,2 ,2%,0%,2%,,4%,,,
"bite size wheats, frosted maple & brown sugar shredded",1 cup,220,2%,1,0%,0,0 ,0%,0,0%,10,17%,52,24%,6,12 ,5 ,0%,0%,0%,,98%,,,
black bean & cheese Taquitos,2 taquitos,190,9%,7,8%,1.5,0 ,2%,5,10%,230,9%,26,18%,5,1 ,5 ,,,,,,,,
Quinoa & Black bean infused with Tortilla chips,8 chips,180,9%,7,3%,0.5,0 ,0%,0,2%,40,7%,18,11%,3,0 ,2 ,,,2%,20 ,3%,1 ,2%,80 
latin black bean soup,1 cup,80,2%,1,0%,0,0 ,0%,0,20%,490,4%,12,12%,3,1 ,4 ,0%,0%,2%,,8%,,,
organic black bean,.5 cup,110,0%,0,0%,0,0 ,0%,0,6%,130,5%,14,11%,3,0 ,5 ,,,2%,30 ,6%,1 ,7%,330 
black bean,2 tbsp ,40,1%,1,0%,0,0 ,0%,0,3%,70,2%,6,7%,2,1 ,2 ,,,2%,26 ,0%,0 ,2%,94 
black cold brew coffee,1 can ,10,0%,0,0%,0,0 ,0%,0,0%,10,1%,2,0%,0,0 ,1 ,0%,0%,1%,,1%,,,
black cold brew coffee arabica,1 can,10,0%,0,0%,0,0 ,0%,0,0%,10,1%,2,0%,0,0 ,0 ,,,,,,,,
coconut cold brew coffee,4 fl oz ,10,0%,0,0%,0,0 ,0%,0,0%,0,1%,2,0%,0,0 ,1 ,,,,,,,,
black garlic,1 tbsp,35,0%,0,0%,0,0 ,0%,0,0%,0,3%,8,,,0 ,1 ,,,,,,,,
black olives,2 tbsp,20,2%,1.5,0%,0,0 ,0%,0,6%,140,0%,1,2%,0.5,0 ,0 ,,,,,,,,
"black olives, large pitted",3 olives,25,4%,2.5,0%,0,0 ,0%,0,5%,110,0%,1,0%,0,0 ,0 ,,,,,,,,
rainbow peppercorns,.3 tsp,0,0%,0,0%,0,0 ,0%,,,,,,,,0 ,0 ,,,,,,,,
"non diary frozen dessert with Tapioca pearls, black tea",0.7 cup,240,6%,5,23%,4.5,0 ,0%,0,6%,135,17%,47,4%,1,31 ,1 ,,,,,,,,
blondie bar baking mix,.1 pkg dry mix,130,4%,2.5,8%,1.5,0 ,0%,0,8%,190,8%,25,2%,0.5,15 ,1 ,0%,0%,1%,,7%,,,
bloody mary salsa,2 tbsp,10,0%,0,0%,0,0 ,0%,0,3%,70,1%,2,0%,0,1 ,0 ,,,,,,,,
blue agave sweetner,1 tbsp,60,,,,,,,,,,,,,,16 ,0 ,,,,,,,,
organic blue corn & wheat tortillas,1 tortillas,90,1%,1,0%,0,0 ,0%,0,7%,150,6%,16,7%,2,0 ,4 ,,,9%,120 ,3%,1 ,0%,0 
blueberries,1 cup frozen,70,2%,1,0%,0,0 ,0%,0,0%,0,6%,17,16%,4,12 ,1 ,2%,6%,1%,,2%,,,
fresh blueberries,1 tbsp,50,0%,0,,,,,,,,5%,13,,,12 ,0 ,,,,,,,,
100% blueberry juice,8 fl oz,100,0%,0,0%,0,0 ,0%,0,1%,15,8%,24,0%,0,19 ,0 ,,,,,,,,
"almond beverage, blueberry lavender",1 cup,60,3%,2.5,0%,0,0 ,0%,0,4%,100,3%,9,2%,0.5,7 ,1 ,,,,,,,,
blueberry muffins,1 muffins ,360,22%,14,8%,1.5,0 ,10%,30,15%,360,17%,51,4%,1,23 ,5 ,0%,2%,6%,,8%,,,
gluten free blueberrt muffins,1 muffins ,260,17%,11,5%,1,0 ,13%,40,15%,370,13%,39,8%,2,22 ,4 ,2%,0%,4%,,4%,,,
bolognese style pasta sauce,0.5 cup,70,5%,4,5%,1,0 ,3%,10,22%,500,2%,6,4%,1,3 ,4 ,,,,,,,,
italian bomba hot pepper sauce,2 tbsp,60,8%,6,3%,0.5,0 ,0%,0,8%,190,0%,1,0%,0,1 ,0 ,,,,,,,,
ice cream bon bons,1 bon bon,60,6%,4,13%,2.5,0 ,2%,5,1%,15,2%,7,0%,0,5 ,1 ,0%,0%,8%,,4%,,,
boneless pork tenderloin,3.5 oz,130,8%,5,10%,2,0 ,22%,65,2%,50,0%,0,0%,0,0 ,21 ,0%,0%,0%,,8%,,,
Fresh atlantic Salmon boneless fillet,4 oz,230,19%,15,18%,3.5,0 ,20%,60,3%,65,0%,0,0%,0,0 ,23 ,,,,,,,,
boneless heirloom chicken thighs,4 oz,170,12%,9,13%,2.5,0 ,42%,125,0%,0,0%,0,0%,0,0 ,21 ,,,,,,,,
bran flakes,0.8 cup,100,1%,0.5,0%,0,0 ,0%,0,9%,220,8%,24,20%,5,6 ,9 ,35%,35%,0%,,45%,,,
Branzino fillet european sea bass,1 fillet ,110,3%,2.5,3%,0.5,0 ,15%,45,3%,75,0%,0,0%,0,0 ,21 ,,,,,,,,
raw brazil nuts,7 pieces,170,29%,19,23%,4.5,0 ,0%,0,0%,0,1%,4,8%,2,1 ,4 ,0%,0%,4%,,6%,,,
breaded chicken tenderloin,3 oz,200,14%,9,13%,2.5,0 ,13%,40,17%,400,5%,14,0%,0,0 ,15 ,2%,0%,0%,,3%,,,
breaded mozarella cheese stick,3 pieces,260,19%,15,35%,7,0 ,8%,25,21%,480,7%,18,0%,0,1 ,13 ,,,,,,,,
breaded fried ravioli,4 ravioli,240,13%,10,15%,3,0 ,5%,15,27%,630,11%,30,7%,2,3 ,7 ,,,,,,,,
gluten free breaded shrimp,.3 package,260,21%,16,35%,7,0 ,30%,90,21%,480,5%,13,7%,2,1 ,7 ,,,,,,,,
gluten free brioche bread,1 slice,120,4%,3,8%,1.5,0 ,7%,20,8%,190,7%,20,4%,1,5 ,2 ,,,,,,,,
brioche buns,1 brioche,280,14%,9,23%,4.5,0 ,17%,50,18%,440,15%,44,12%,3,5 ,6 ,6%,0%,2%,,15%,,,
brioche hotdog buns,1 roll,170,3%,2.5,5%,1,0 ,3%,10,10%,230,12%,32,2%,0.5,5 ,5 ,,,,,,,,
brioche toasts,4 slices,140,5%,3.5,0%,0,0 ,3%,10,7%,160,8%,24,4%,1,4 ,3 ,0%,6%,2%,,4%,,,
british style crumpets,1 crumpet,100,0%,0,0%,0,0 ,0%,0,11%,260,8%,22,2%,0.5,0 ,3 ,,,,,,,,